track_id,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,type,valence,song_uri
1ZWZO4Uc2W4U6ISIFtBCuJ,0.432,0.926,0.887,0.0769,-5.333,0.0396,155.008,audio_features,0.197,spotify:track:1ZWZO4Uc2W4U6ISIFtBCuJ
4mYodedV6gqsKoSWeB8tTK,0.426,0.346,0.831,0.141,-7.404,0.0338,101.236,audio_features,0.195,spotify:track:4mYodedV6gqsKoSWeB8tTK
0l9li2UFXXFRglpy7GMYGs,0.43,0.976,0.841,0.0906,-5.214,0.103,199.964,audio_features,0.286,spotify:track:0l9li2UFXXFRglpy7GMYGs
1UGLxDVUf3XJRG1zCyeUUX,0.49,0.956,0.869,0.0785,-5.422,0.052,95.002,audio_features,0.25,spotify:track:1UGLxDVUf3XJRG1zCyeUUX
6i8TDqnHN7GF9uU3LJCklq,0.383,0.936,0.731,0.349,-6.683,0.0909,155.006,audio_features,0.12,spotify:track:6i8TDqnHN7GF9uU3LJCklq
0IvrpwemECloZcEXItGbyZ,0.159,0.948,0.927,0.393,-5.993,0.0961,180.096,audio_features,0.118,spotify:track:0IvrpwemECloZcEXItGbyZ
65vUiT6J8LMq6e8YcKTCeC,0.5,0.8,0.826,0.261,-7.904,0.0465,110.015,audio_features,0.102,spotify:track:65vUiT6J8LMq6e8YcKTCeC
2OKYqk9p2fRFVQwaMPDSqY,0.538,0.268,0.919,0.11,-13.394,0.0772,135.326,audio_features,0.0943,spotify:track:2OKYqk9p2fRFVQwaMPDSqY
3PhooEcnMRr8mfNiXW2fF0,0.313,0.952,0.852,0.29,-5.073,0.135,112.846,audio_features,0.194,spotify:track:3PhooEcnMRr8mfNiXW2fF0
5Z8RhEmudSOtX5tJhZ1Yvo,0.398,0.995,0.699,0.109,-3.018,0.104,169.936,audio_features,0.171,spotify:track:5Z8RhEmudSOtX5tJhZ1Yvo
13vVuO0MNV5AbBgcXOM0S8,0.31,0.898,0.81,0.104,-6.825,0.0926,138.515,audio_features,0.283,spotify:track:13vVuO0MNV5AbBgcXOM0S8
1oR5bPDaYrsruSY6eeecDk,0.272,0.316,0.896,0.113,-13.519,0.0452,141.977,audio_features,0.232,spotify:track:1oR5bPDaYrsruSY6eeecDk
7hY2Kc7Hvu0BudOoQwu8Ez,0.472,0.979,0.814,0.286,-4.386,0.181,159.969,audio_features,0.25,spotify:track:7hY2Kc7Hvu0BudOoQwu8Ez
6s1vvfK1oFGH3ue4hkERCx,0.546,0.959,0.799,0.0876,-4.768,0.066,104.044,audio_features,0.366,spotify:track:6s1vvfK1oFGH3ue4hkERCx
3X0yUZJfy2ygoDqNeBxZno,0.323,0.914,0.862,0.341,-5.273,0.0476,122.01,audio_features,0.306,spotify:track:3X0yUZJfy2ygoDqNeBxZno
6791xRWIf9DWEudbE7cg9v,0.398,0.866,0.861,0.0961,-6.075,0.0442,130.041,audio_features,0.258,spotify:track:6791xRWIf9DWEudbE7cg9v
0JGuSgtmWyfuxLGBs2wX0C,0.57,0.945,0.827,0.0543,-5.665,0.0567,114.987,audio_features,0.53,spotify:track:0JGuSgtmWyfuxLGBs2wX0C
43kvE0evfgiatOSth0XyFa,0.277,0.967,0.834,0.354,-4.796,0.202,150.037,audio_features,0.253,spotify:track:43kvE0evfgiatOSth0XyFa
0QkQT5EQz02GcM0gAA8cLI,0.257,0.985,0.831,0.11,-4.443,0.2,149.867,audio_features,0.326,spotify:track:0QkQT5EQz02GcM0gAA8cLI
0opZ1ZwRKZAiZWXhDHFs2T,0.471,0.914,0.798,0.0507,-5.954,0.0383,153.019,audio_features,0.203,spotify:track:0opZ1ZwRKZAiZWXhDHFs2T
69fpb1fAdyuO6DHx6daRRE,0.358,0.896,0.916,0.15,-8.072,0.0472,114.941,audio_features,0.301,spotify:track:69fpb1fAdyuO6DHx6daRRE
4j6ascTxs21rACPdPpqFQN,0.549,0.935,0.775,0.0641,-5.692,0.0518,118.016,audio_features,0.341,spotify:track:4j6ascTxs21rACPdPpqFQN
6IATawAyZRMbiYTY2wpkyZ,0.488,0.987,0.814,0.0808,-5.507,0.154,145.133,audio_features,0.168,spotify:track:6IATawAyZRMbiYTY2wpkyZ
6OrrIP1n3M3psLx38w6CzG,0.248,0.939,0.74,0.0645,-5.468,0.204,179.972,audio_features,0.261,spotify:track:6OrrIP1n3M3psLx38w6CzG
6TusaYvpkgyJhJ8tvXo03P,0.404,0.903,0.812,0.138,-6.237,0.108,131.768,audio_features,0.352,spotify:track:6TusaYvpkgyJhJ8tvXo03P
0KU0ZSnnPo5QjncWPz1g1f,0.588,0.862,0.813,0.131,-6.552,0.0452,105.002,audio_features,0.488,spotify:track:0KU0ZSnnPo5QjncWPz1g1f
7t3zWOXjlXQ2NYeEc6EoYr,0.489,0.777,0.779,0.308,-6.787,0.0428,159.997,audio_features,0.534,spotify:track:7t3zWOXjlXQ2NYeEc6EoYr
7a4YErm5cYs3ZLUndwp2pr,0.346,0.965,0.864,0.155,-5.75,0.125,112.746,audio_features,0.317,spotify:track:7a4YErm5cYs3ZLUndwp2pr
60CmclXg3KdoiZ7TvUY2zD,0.509,0.857,0.906,0.105,-6.622,0.052,179.956,audio_features,0.308,spotify:track:60CmclXg3KdoiZ7TvUY2zD
53MxeFpq33qUYUT9yue3Yj,0.62,0.875,0.696,0.0514,-5.678,0.0757,129.979,audio_features,0.637,spotify:track:53MxeFpq33qUYUT9yue3Yj
3pqgn0ZL25lhuOfZcxWMB2,0.276,0.435,0.84,0.0899,-8.121,0.0325,170.242,audio_features,0.109,spotify:track:3pqgn0ZL25lhuOfZcxWMB2
0zm05SKzrruqg7hMXRfW2S,0.443,0.868,0.739,0.682,-5.924,0.104,179.934,audio_features,0.2,spotify:track:0zm05SKzrruqg7hMXRfW2S
3zndiaSaHvTkzAk93J6OyZ,0.241,0.331,0.866,0.688,-15.366,0.0345,102.086,audio_features,0.0317,spotify:track:3zndiaSaHvTkzAk93J6OyZ
55RgRMx7tECFL7ZgAsJbC9,0.28,0.949,0.855,0.19,-5.317,0.0897,122.338,audio_features,0.254,spotify:track:55RgRMx7tECFL7ZgAsJbC9
5OYumxiBEEEL5Hq2fGhpsS,0.295,0.868,0.763,0.0983,-6.417,0.0379,114.95,audio_features,0.0941,spotify:track:5OYumxiBEEEL5Hq2fGhpsS
70jpGVeinaEXDGB6pZlpoG,0.457,0.178,0.796,0.294,-24.369,0.0349,149.862,audio_features,0.241,spotify:track:70jpGVeinaEXDGB6pZlpoG
3TwKLIOl2hIPDE7z7rvOH3,0.17,0.931,0.915,0.165,-5.176,0.0832,170.097,audio_features,0.102,spotify:track:3TwKLIOl2hIPDE7z7rvOH3
0QZ3iZwNJHS9SXXyiJsU30,0.344,0.896,0.876,0.25,-5.998,0.049,200.104,audio_features,0.0905,spotify:track:0QZ3iZwNJHS9SXXyiJsU30
3kmX1Ok6CoYL9PrIWXwyRB,0.419,0.916,0.899,0.359,-5.164,0.0541,145.076,audio_features,0.177,spotify:track:3kmX1Ok6CoYL9PrIWXwyRB
